set,ATAC_tissue,CLUES_tissue,odds_ratio,p.adjusted.BH,p.value,conf_int.lower,conf_int.upper
HET.single_tissue,Open,cMono,0.8536779038391548,0.001896198102042809,3.3183466785749157e-4,0.7825065690018177,0.9311416851737424
HET.single_tissue,Open,ncMono,0.9699677117819999,0.7353136972790373,0.6433994851191577,0.8577724949494979,1.0968053304897551
HET.single_tissue,Open,pDC,0.8482302056951456,0.10018501684605048,0.04257863215957145,0.7230289927188487,0.9946223539891348
HET.single_tissue,T,B,0.9582217626171717,0.7489410045254616,0.6777105184595571,0.7960471885231644,1.1532663702452481
HET.single_tissue,T,CD4,1.031228372456415,0.5369179046127238,0.41611137607486093,0.9585145182654876,1.1094528009554554
HET.single_tissue,T,CD8,1.3432438111486515,0.1444322351585355,0.0719925585969728,0.9752095536686277,1.8573672147377283
HET.single_tissue,T,NK,1.1179724207959283,0.41789502857166183,0.3029738957144548,0.9086964667433377,1.3762718999472525
HET.single_tissue,T,cDC,0.7022469041701555,0.28420609712075307,0.16341850584443302,0.4277424644824092,1.1401827799840574
HET.single_tissue,T,cMono,0.9084088232500276,0.403902829770492,0.2827319808393444,0.7644600992582914,1.0790647072934583
HET.single_tissue,T,ncMono,0.8267400635943073,0.3865361258930456,0.23192167553582735,0.6084221316243907,1.1208805097165968
HET.single_tissue,T,pDC,0.6913829807153227,0.1470370462688391,0.07719444929114053,0.4565840279823865,1.0385070564002274
TBT.each_tissue,B,B,1.2000620108829148,6.116547344806668e-7,1.987877887062167e-7,1.1198414779449963,1.2861883486268808
TBT.each_tissue,B,CD4,1.023968845054962,0.42254079274500994,0.3591596738332584,0.9737579700049788,1.076768828056869
TBT.each_tissue,B,CD8,1.0026786690294271,0.9478390354797093,0.9478390354797093,0.9399058639711501,1.069631076381474
TBT.each_tissue,B,NK,0.940929280605577,0.1276247513569996,0.09252794473382471,0.8766258164428442,1.0099630046851875
TBT.each_tissue,B,cDC,1.1564974344362715,0.05411674710563544,0.033822966941022145,1.010966754304069,1.3233906919841931
